"GeometryIds","Points:0","Points:1","Points:2","a","arc_length","current density:0","current density:1","current density:2","magnetic field strength:0","magnetic field strength:1","magnetic field strength:2","magnetic flux density:0","magnetic flux density:1","magnetic flux density:2","magnetic vector potential:0","magnetic vector potential:1","magnetic vector potential:2"
16,-0.0085929,0.039373,0,-0.0011214,0.007465,0,0,0,66602,-2.1673e+05,0,0.083695,-0.27235,0,0,0,-0.0011181
16,-0.0083009,0.039436,0,-0.0010421,0.0077636,0,0,0,54866,-1.9296e+05,0,0.068947,-0.24248,0,0,0,-0.0010381
16,-0.0083009,0.039436,0,-0.0010421,0.0077636,0,0,0,54866,-1.9296e+05,0,0.068947,-0.24248,0,0,0,-0.0010381
16,-0.0080085,0.039496,0,-0.0009712,0.0080622,0,0,0,45998,-1.7416e+05,0,0.057803,-0.21886,0,0,0,-0.00096683
16,-0.0080085,0.039496,0,-0.0009712,0.0080622,0,0,0,45998,-1.7416e+05,0,0.057803,-0.21886,0,0,0,-0.00096683
16,-0.0077157,0.039555,0,-0.00090702,0.0083608,0,0,0,39197,-1.589e+05,0,0.049256,-0.19967,0,0,0,-0.00090243
16,-0.0077157,0.039555,0,-0.00090702,0.0083608,0,0,0,39197,-1.589e+05,0,0.049256,-0.19967,0,0,0,-0.00090243
15,-0.0075959,0.039577,0,-0.00088306,0.0084827,0,0,0,51579,-1.4942e+05,0,0.064816,-0.18777,0,0,0,-0.00088119
15,-0.0074224,0.039611,0,-0.00084833,0.0086594,0,0,0,46973,-1.4258e+05,0,0.059028,-0.17917,0,0,0,-0.00084702
15,-0.0074224,0.039611,0,-0.00084833,0.0086594,0,0,0,46973,-1.4258e+05,0,0.059028,-0.17917,0,0,0,-0.00084702
15,-0.0071287,0.039664,0,-0.00079419,0.008958,0,0,0,40769,-1.3293e+05,0,0.051232,-0.16705,0,0,0,-0.00079363
15,-0.0071287,0.039664,0,-0.00079419,0.008958,0,0,0,40769,-1.3293e+05,0,0.051232,-0.16705,0,0,0,-0.00079363
15,-0.0070889,0.039671,0,-0.00078739,0.0089984,0,0,0,40074,-1.3178e+05,0,0.050358,-0.1656,0,0,0,-0.00078691
16,-0.0068346,0.039716,0,-0.00074391,0.0092566,0,0,0,26146,-1.268e+05,0,0.032856,-0.15934,0,0,0,-0.00073911
16,-0.0068346,0.039716,0,-0.00074391,0.0092566,0,0,0,26146,-1.268e+05,0,0.032856,-0.15934,0,0,0,-0.00073911
15,-0.0066445,0.039748,0,-0.00071355,0.0094493,0,0,0,32829,-1.199e+05,0,0.041254,-0.15067,0,0,0,-0.00071394
15,-0.0065401,0.039766,0,-0.00069688,0.0095552,0,0,0,31290,-1.1739e+05,0,0.03932,-0.14752,0,0,0,-0.00069745
15,-0.0065401,0.039766,0,-0.00069688,0.0095552,0,0,0,31290,-1.1739e+05,0,0.03932,-0.14752,0,0,0,-0.00069745
15,-0.0062453,0.039813,0,-0.00065261,0.0098538,0,0,0,27566,-1.1129e+05,0,0.03464,-0.13985,0,0,0,-0.00065364
