"GeometryIds","Points:0","Points:1","Points:2","a","arc_length","magnetic field strength:0","magnetic field strength:1","magnetic field strength:2","magnetic flux density:0","magnetic flux density:1","magnetic flux density:2","magnetic vector potential:0","magnetic vector potential:1","magnetic vector potential:2"
10,-0.0081529,0.0069882,0,0.0033817,0.0093642,2.3117e+05,-2.1332e+05,0,0.29049,-0.26807,0,0,0,0.003375
10,-0.0081499,0.0069917,0,0.0033836,0.0093688,2.309e+05,-2.1327e+05,0,0.29016,-0.268,0,0,0,0.0033767
10,-0.0080793,0.0070731,0,0.0034258,0.0094765,2.2539e+05,-2.1176e+05,0,0.28323,-0.26611,0,0,0,0.003419
10,-0.0080745,0.0070786,0,0.0034286,0.0094838,2.2509e+05,-2.1178e+05,0,0.28286,-0.26612,0,0,0,0.0034216
10,-0.0080708,0.0070828,0,0.0034307,0.0094893,2.2483e+05,-2.1176e+05,0,0.28253,-0.26611,0,0,0,0.0034243
10,-0.0080015,0.0071609,0,0.003471,0.0095938,2.2105e+05,-2.108e+05,0,0.27778,-0.2649,0,0,0,0.0034673
10,-0.0079938,0.0071696,0,0.0034755,0.0096054,2.208e+05,-2.1069e+05,0,0.27747,-0.26476,0,0,0,0.0034712
10,-0.0079226,0.0072481,0,0.0035159,0.0097114,2.1735e+05,-2.0902e+05,0,0.27313,-0.26266,0,0,0,0.0035162
10,-0.0079164,0.0072549,0,0.0035194,0.0097206,2.1713e+05,-2.0883e+05,0,0.27285,-0.26243,0,0,0,0.0035197
10,-0.0079093,0.0072626,0,0.0035233,0.0097311,2.1681e+05,-2.0874e+05,0,0.27245,-0.26231,0,0,0,0.0035233
10,-0.0078389,0.0073387,0,0.0035624,0.0098347,2.1355e+05,-2.0771e+05,0,0.26836,-0.26101,0,0,0,0.0035646
10,-0.007831,0.007347,0,0.0035667,0.0098462,2.1308e+05,-2.0755e+05,0,0.26777,-0.26082,0,0,0,0.0035693
10,-0.007762,0.00742,0,0.0036042,0.0099467,2.0959e+05,-2.0729e+05,0,0.26338,-0.26049,0,0,0,0.0036028
