"Time [ms]","InducedVoltage(PriCoil) [V]","InducedVoltage(SecCoil) [V]","Current(PriCoil) [A]"
27.3333333333331,-16.9665912804291,-9.71745076616087,0.0295903228704493
27.6666666666664,-18.5868984532221,-10.6832065367394,0.022956721796433
27.9999999999998,-19.915791593322,-11.4614704598141,0.0179624964737464
28.3333333333331,-20.9308436112109,-12.0551674838613,0.0140733670546936
28.6666666666664,-21.6159107444423,-12.4561363987538,0.0109111404981945
28.9999999999998,-21.9602810188289,-12.6592848894927,0.00830438246698853
29.3333333333331,-21.9603828185868,-12.6630798082933,0.00615723223690808
29.6666666666664,-21.6133159101831,-12.4658487392756,0.00437080669465235
29.9999999999997,-20.9248551849701,-12.0710399693353,0.00287201760855315
30.3333333333331,-19.907012626152,-11.4858136280881,0.00162150755453408
30.6666666666664,-18.5746003081226,-10.7187063312629,0.000580626659441175
