"Distance [mm]","Mag_B [tesla]"
6.495275,0.396225737501758
6.5212561,0.395037232784109
6.5472372,0.393852174008896
6.5732183,0.392670561075776
6.5991994,0.391492393886176
6.6251805,0.390317672343267
6.6511616,0.389146396351977
6.6771427,0.387978565819006
6.7031238,0.386814180652799
6.7291049,0.385653240763563
6.755086,0.384495746063263
6.7810671,0.383341696465618
6.8070482,0.382191091886107
6.8330293,0.381043932241972
6.8590104,0.379900217452208
6.8849915,0.378759947437565
6.9109726,0.377623122120549
6.9369537,0.376489741425437
6.9629348,0.375359805278248
6.9889159,0.37423331360677
7.014897,0.373110266340543
7.0408781,0.371990663410866
7.0668592,0.370874504750799
7.0928403,0.36976179029515
7.1188214,0.368652519980496
7.1448025,0.367546693745161
7.1707836,0.36644431152924
7.1967647,0.365345373274579
7.2227458,0.364249878924773
7.2487269,0.363157828425186
7.274708,0.362069221722941
7.3006891,0.360984058766905
7.3266702,0.359902339507719
7.3526513,0.358824063897778
7.3786324,0.357749231891226
7.4046135,0.356677843443969
7.4305946,0.355609898513676
7.4565757,0.35454539705976
7.4825568,0.353484339043412
7.5085379,0.35242672442757
7.534519,0.351372553176921
7.5605001,0.350321825257923
7.5864812,0.34927454063879
7.6124623,0.348230699289481
7.6384434,0.347190301181734
7.6644245,0.346153346289028
7.6904056,0.345119834586605
7.7163867,0.344089766051468
7.7423678,0.34306314066237
7.7683489,0.342039958399823
7.79433,0.341020219246106
7.8203111,0.340003923185253
7.8462922,0.338991070203041
7.8722733,0.337981660287021
7.8982544,0.336975693426501
7.9242355,0.335973169612533
7.9502166,0.334974088837945
7.9761977,0.333978451097311
8.0021788,0.332986256386965
8.0281599,0.331997504705
8.054141,0.331012196051265
8.0801221,0.330030330427363
8.1061032,0.329051907836667
8.1320843,0.328076928284299
8.1580654,0.327105391777137
8.1840465,0.326137298323819
8.2100276,0.325172647934743
8.2360087,0.324211440622058
8.2619898,0.323253676399684
8.2879709,0.322299355283286
8.313952,0.321348477290291
8.3399331,0.320401042439884
8.3659142,0.319457050753009
8.3918953,0.318516502252362
8.4178764,0.317579396962406
8.4438575,0.316645734909353
8.4698386,0.315715516121181
8.4958197,0.314788740627615
8.5218008,0.313865408460146
8.5477819,0.312945519652018
8.573763,0.312032289410843
8.5997441,0.311123726679507
8.6257252,0.310215153793305
8.6517063,0.309306570699649
8.6776874,0.308397977346488
8.7036685,0.30748937368231
8.7296496,0.30658075965613
8.7556307,0.305672135217518
8.7816118,0.304763500316574
8.8075929,0.303854854903931
8.833574,0.302946198930764
8.8595551,0.302037532348788
8.8855362,0.301128855110247
8.9115173,0.30022016716794
8.9374984,0.299311468475189
8.9634795,0.298402758985854
8.9894606,0.297494038654343
9.0154417,0.296585307435592
9.0414228,0.295676565285074
9.0674039,0.294767812158811
9.093385,0.293859048013356
9.1193661,0.292950272805796
9.1453472,0.292041486493758
9.1713283,0.291132689035414
9.1973094,0.29022388038946
9.2232905,0.289315060515146
9.2492716,0.288406229372249
9.2752527,0.287497386921082
9.3012338,0.286588533122507
9.3272149,0.285679667937916
9.353196,0.284770791329231
9.3791771,0.28386190325893
9.4051582,0.282953003690018
9.4311393,0.282044092586036
9.4571204,0.281135169911069
9.4831015,0.280226235629734
9.5090826,0.279317289707186
9.5350637,0.278408332109126
9.5610448,0.277499362801788
9.5870259,0.276590381751937
9.613007,0.275681388926884
9.6389881,0.27477238429448
9.6649692,0.273863367823098
9.6909503,0.272954339481671
9.7169314,0.272045299239654
9.7429125,0.271136247067048
9.7688936,0.270378645558831
9.7948747,0.269621565107975
9.8208558,0.268865005713609
9.8468369,0.2681089673749
9.872818,0.267353450091019
9.8987991,0.266598453861177
9.9247802,0.265843978684604
9.9507613,0.265090024560556
9.9767424,0.264336591488315
10.0027235,0.263583679467193
10.0287046,0.262831288496516
10.0546857,0.262079418575645
10.0806668,0.261328069703962
10.1066479,0.260577241880877
10.132629,0.259826935105819
10.1586101,0.259077149378246
10.1845912,0.258327884697648
10.2105723,0.257579141063529
10.2365534,0.256830918475425
10.2625345,0.256083216932895
10.2885156,0.255336036435523
10.3144967,0.254589376982919
10.3404778,0.253843238574718
10.3664589,0.253097621210579
10.39244,0.252352524890189
10.4184211,0.251607949613257
10.4444022,0.25086389537952
10.4703833,0.250120362188737
10.4963644,0.249377350040699
10.5223455,0.248634858935212
10.5483266,0.247892888872114
10.5743077,0.247151439851269
10.6002888,0.246410511872561
10.6262699,0.245670104935901
10.652251,0.244930219041234
10.6782321,0.244190854188515
10.7042132,0.243452010377735
10.7301943,0.242713687608905
10.7561754,0.241975885882067
10.7821565,0.241238605197278
10.8081376,0.240501845554635
10.8341187,0.239765606954247
10.8600998,0.239029889396253
10.8860809,0.238294692880817
10.912062,0.23756001740813
10.9380431,0.236825862978404
10.9640242,0.236092229591886
10.9900053,0.235359117248833
11.0159864,0.234626525949539
11.0419675,0.233894455694319
11.0679486,0.233162906483513
11.0939297,0.232431878317487
11.1199108,0.231701371196636
11.1458919,0.230971385121372
11.171873,0.230241920092137
11.1978541,0.229512976109398
11.2238352,0.228784553173649
11.2498163,0.228056651285403
11.2757974,0.227329270445209
11.3017785,0.226602410653629
11.3277596,0.225876071911257
11.3537407,0.225150254218712
11.3797218,0.224424957576637
11.4057029,0.223700181985699
11.431684,0.222975927446595
11.4576651,0.222252193960042
11.4836462,0.221528981526782
11.5096273,0.220806290147587
11.5356084,0.22008411982325
11.5615895,0.21936247055459
11.5875706,0.218641342342457
11.6135517,0.217920735187716
11.6395328,0.217200649091262
11.6655139,0.216481084054018
11.691495,0.215762040076929
11.7174761,0.215043517160966
11.7434572,0.214325515307125
11.7694383,0.213608034516427
11.7954194,0.212891074789919
